ID,A,CA,CV,DD,DP,FC,FD,FF,FS,FT,G,GC,GS,I,PE,PP,RB,SG
69008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50317,2.0,0.0,0.0,0.0,0.0,15.0,4.0,13.0,2.0,0.0,2.0,0.0,0.0,0.0,19.0,0.0,26.0,6.0
69141,2.0,5.0,0.0,0.0,0.0,35.0,14.0,16.0,56.0,1.0,7.0,0.0,0.0,17.0,36.0,1.0,16.0,0.0
69288,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0
50408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38648,4.0,4.0,0.0,0.0,0.0,23.0,13.0,15.0,24.0,0.0,2.0,0.0,0.0,1.0,26.0,0.0,24.0,0.0
50324,1.0,3.0,0.0,0.0,0.0,26.0,4.0,1.0,10.0,0.0,1.0,0.0,0.0,1.0,18.0,0.0,23.0,0.0
69138,1.0,3.0,0.0,0.0,0.0,27.0,6.0,14.0,12.0,1.0,3.0,0.0,0.0,11.0,13.0,0.0,4.0,0.0
50459,0.0,1.0,0.0,0.0,0.0,21.0,1.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,19.0,3.0
69705,2.0,3.0,0.0,0.0,0.0,23.0,21.0,25.0,20.0,1.0,5.0,0.0,0.0,5.0,33.0,0.0,14.0,0.0
69161,2.0,3.0,0.0,0.0,0.0,10.0,8.0,7.0,15.0,1.0,6.0,0.0,0.0,2.0,22.0,0.0,2.0,0.0
50328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50645,2.0,3.0,0.0,0.0,0.0,28.0,2.0,7.0,25.0,0.0,0.0,0.0,0.0,0.0,64.0,0.0,33.0,8.0
70009,0.0,3.0,0.0,0.0,0.0,23.0,2.0,4.0,11.0,0.0,2.0,0.0,0.0,0.0,18.0,0.0,15.0,0.0
78445,2.0,2.0,0.0,0.0,0.0,24.0,3.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,66.0,0.0,46.0,11.0
