A,CA,CV,DD,DP,FC,FD,FF,FS,FT,G,GC,GS,I,PE,PP,RB,SG,PNT,price,proGoals,consGoals,advPG,advCG,teamPos,advPos,home,realScore
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.33,2.00,2.00,1.00,0.00,2,11,1,-1.6
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.47,4.91,5.58,6.09,11.40,14,13,0,4.2
0.00,0.80,0.00,0.00,0.00,5.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.11,0.00,1.60,0.51,0.39,1.53,5.24,4.72,4.80,7.21,11,20,0,-0.6
0.00,0.51,0.00,0.00,0.00,3.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.95,0.00,1.02,0.33,-0.23,1.25,4.96,5.82,5.15,5.30,13,8,1,-1.6
0.00,0.90,0.00,0.00,0.00,3.02,0.00,0.64,1.28,0.00,0.00,0.00,0.00,0.00,2.15,0.00,0.52,0.17,-1.14,1.6,4.78,6.26,6.99,3.89,15,2,0,1.0
0.00,0.03,0.00,0.00,0.00,0.15,0.00,0.07,0.05,0.00,0.00,0.00,0.00,0.00,0.21,0.00,0.06,0.01,0.00,1.36,8.09,7.74,7.95,5.45,10,9,0,0.0
0.51,0.00,0.00,0.00,0.00,0.51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.54,0.00,1.54,0.51,7.01,10.56,2.15,4.04,2.79,2.88,12,8,1,1.9
0.41,0.00,0.00,0.00,0.00,3.41,0.00,1.00,2.00,0.00,0.00,0.00,0.00,0.00,1.23,0.00,2.23,0.41,7.51,9.31,2.72,4.23,1.51,3.16,14,16,0,-2.1
0.33,1.00,0.00,0.00,0.00,3.73,0.00,0.80,3.60,0.00,0.00,0.00,0.00,0.00,2.98,0.00,1.78,0.33,3.91,9.56,6.18,7.39,2.77,4.83,17,15,1,0.5
0.26,1.80,0.00,0.00,0.00,3.98,0.00,0.64,3.88,0.00,0.00,0.00,0.00,0.00,5.39,0.00,3.43,0.26,3.63,9.53,6.94,8.91,5.22,2.13,18,1,0,1.4
0.01,0.06,0.00,0.00,0.00,0.18,0.00,0.07,0.22,0.00,0.00,0.00,0.00,0.00,0.41,0.00,0.16,0.01,0.19,8.53,7.12,5.31,7.56,7.62,3,18,1,0.5
0.01,0.04,0.00,0.00,0.00,0.12,0.00,0.04,0.14,0.00,0.00,0.00,0.00,0.00,3.46,0.00,0.91,0.01,0.52,9.14,8.16,8.20,8.75,9.61,3,13,1,4.4
0.00,0.03,0.00,0.00,0.00,1.09,0.00,0.03,0.11,0.00,0.00,0.00,0.00,0.00,8.77,0.00,1.72,1.00,4.82,8.32,7.53,6.56,5.58,5.95,3,15,0,-0.3
0.00,0.03,0.00,0.00,0.00,0.88,0.00,0.03,0.09,0.00,0.00,0.00,0.00,0.00,8.02,0.00,1.38,0.80,3.55,8.76,7.02,6.25,3.63,6.52,3,18,1,2.1
0.00,0.02,0.00,0.00,0.00,1.56,0.80,0.02,2.06,0.00,0.00,0.00,0.00,0.00,9.73,0.00,1.68,0.51,3.55,9.63,8.89,5.80,3.11,7.23,3,9,0,7.2
0.00,0.01,0.00,0.00,0.00,0.80,0.41,0.01,1.69,0.00,0.00,0.00,0.00,0.00,4.98,0.00,1.50,0.90,6.43,9.32,8.95,5.97,3.74,6.21,3,18,1,4.9
0.00,0.01,0.00,0.00,0.00,0.51,0.26,0.01,3.88,0.00,0.00,0.00,0.00,0.00,8.79,0.00,0.96,1.38,7.83,8.31,10.13,5.82,3.35,3.78,4,15,0,-0.3
0.00,0.00,0.00,0.00,0.00,1.41,0.21,0.00,4.11,0.00,0.00,0.00,0.00,0.00,8.03,0.00,0.77,1.10,5.97,8.92,8.10,6.66,6.35,3.22,4,1,1,2.2
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.15,3.44,4.24,2.56,2.80,17,13,0,8.5
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,2.00,1.00,8.50,9.99,2.75,3.39,1.00,2.88,15,17,1,4.7
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.52,0.00,0.00,0.00,0.00,0.00,1.11,0.00,0.52,0.59,3.77,9.08,4.93,4.46,5.25,4.25,8,13,1,2.0
0.00,0.00,0.00,0.00,0.00,0.80,0.00,0.00,0.34,0.00,0.00,0.00,0.00,0.00,3.11,0.00,1.94,0.38,4.01,9.18,6.55,4.65,6.16,4.17,12,3,1,2.9
0.00,0.00,0.00,0.00,0.00,1.51,0.80,0.00,2.01,0.00,0.00,0.00,0.00,0.00,6.79,0.00,3.04,0.24,5.39,9.73,6.19,4.78,5.42,4.58,11,12,1,6.7
0.00,0.00,0.00,0.00,0.00,4.19,0.26,1.23,3.31,0.00,0.00,0.00,0.00,0.00,7.19,0.00,3.66,0.72,8.35,8.82,3.82,7.01,6.11,7.43,11,7,1,1.0
0.00,0.64,0.00,0.00,0.00,4.71,0.13,0.63,1.69,0.00,0.00,0.00,0.00,0.00,3.68,0.00,1.88,1.01,4.92,9.12,6.04,6.19,8.41,6.79,11,4,1,3.5
0.00,0.33,0.00,0.00,0.00,4.49,0.87,2.40,5.31,0.00,0.00,0.00,0.00,0.64,5.12,0.00,6.24,0.52,13.64,9.35,5.53,7.61,6.29,4.60,9,8,0,3.3
0.00,0.26,0.00,0.00,0.00,4.59,0.69,1.92,4.25,0.00,0.00,0.00,0.00,0.51,8.10,0.00,4.99,1.41,14.21,9.92,6.42,6.09,7.45,6.80,8,17,1,6.2
0.00,0.21,0.00,0.00,0.00,5.67,0.56,1.54,4.40,0.00,0.00,0.00,0.00,0.41,6.48,0.00,4.99,2.13,17.57,9.02,6.14,4.87,4.11,7.33,9,14,0,1.1
0.00,0.17,0.00,0.00,0.00,5.54,0.44,1.23,4.52,0.00,0.00,0.00,0.00,0.33,7.18,0.00,5.00,1.70,15.15,8.69,5.91,4.90,3.71,5.38,10,12,1,-0.3
