A,CA,CV,DD,DP,FC,FD,FF,FS,FT,G,GC,GS,I,PE,PP,RB,SG,PNT,price,proGoals,consGoals,realScore
0.00,5.81,0.00,0.00,0.00,40.43,4.86,15.36,85.72,0.00,0.00,1.98,0.00,0.00,80.19,0.00,76.04,11.80,21.27,11.39,44.62,61.68,8.9
0.00,5.91,0.00,0.00,0.00,41.21,5.43,16.68,88.86,0.00,0.00,1.99,0.00,0.00,85.10,0.00,80.02,12.90,22.03,11.13,49.31,62.84,6.7
0.00,5.95,0.00,0.00,0.00,41.61,8.71,17.34,92.43,0.00,0.00,2.00,0.00,0.00,90.55,0.00,84.01,13.45,22.14,12.29,51.65,66.42,11.9
0.00,5.98,0.00,0.00,0.00,42.80,11.36,17.67,96.22,0.00,0.00,2.00,0.00,1.00,94.27,0.00,90.01,14.73,23.36,12.29,53.83,68.21,0.0
0.00,5.99,0.00,0.00,0.00,43.40,12.68,17.83,98.11,0.00,0.00,2.00,0.00,1.50,96.14,0.00,93.00,15.36,23.97,11.12,54.91,72.10,3.8
0.00,5.99,0.00,0.00,0.00,43.70,14.34,19.92,101.05,0.00,0.00,2.00,0.00,1.75,102.07,0.00,95.50,15.68,23.11,12.39,55.46,75.05,10.7
0.00,6.00,0.00,0.00,0.00,50.93,15.58,22.98,108.76,0.00,0.00,2.00,0.00,1.94,113.52,0.00,107.38,17.42,23.37,12.34,55.86,80.26,9.6
0.00,7.00,0.00,0.00,0.00,54.46,16.79,24.49,112.38,0.00,0.00,2.00,0.00,2.97,119.76,0.00,114.69,18.71,24.03,11.01,55.93,82.13,1.6
0.00,7.50,0.00,0.00,0.00,56.23,17.40,25.24,116.19,0.00,0.00,2.00,0.00,3.48,125.88,0.00,119.34,19.36,23.02,11.41,55.97,85.07,4.2
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.0,0.00,0.00,0.0
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,5.0,1.00,2.00,0.0
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.50,5.0,2.50,3.00,0.0
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.75,4.47,4.25,4.50,2.7
0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,3.00,0.00,8.84,4.42,7.12,6.25,2.2
0.00,0.00,0.00,0.00,0.00,0.00,1.50,1.00,1.00,0.00,0.00,0.00,0.00,0.00,17.00,0.00,5.50,0.00,8.84,6.43,9.56,9.12,10.0
0.00,0.00,0.00,0.00,0.00,3.00,1.75,2.50,1.50,0.00,0.00,0.00,0.00,0.00,21.50,0.00,10.75,1.00,10.85,4.85,11.78,10.56,-0.8
0.00,1.00,0.00,0.00,0.00,6.50,1.88,5.25,1.75,0.00,0.00,0.00,0.00,0.00,26.75,0.00,14.38,1.50,10.28,5.89,15.89,12.28,5.1
0.00,1.50,0.00,0.00,0.00,9.25,1.94,6.62,1.88,0.00,0.00,0.00,0.00,0.00,32.38,0.00,17.19,2.75,11.03,5.17,17.95,13.14,0.3
0.00,2.75,0.00,0.00,0.00,13.62,1.97,7.31,3.94,0.00,0.00,0.00,0.00,1.00,39.19,0.00,21.59,3.38,10.68,4.55,19.97,15.57,-2.2
0.00,5.59,0.00,0.00,0.00,21.95,2.00,7.91,7.49,0.00,0.00,0.00,0.00,1.88,58.15,0.00,29.20,3.92,9.54,4.7,24.75,29.70,0.0
0.00,5.80,0.00,0.00,0.00,22.98,2.00,7.96,7.75,0.00,0.00,0.00,0.00,1.94,62.07,0.00,30.60,3.96,9.47,4.7,26.37,32.85,0.0
0.00,5.90,0.00,0.00,0.00,23.49,2.00,7.98,7.87,0.00,0.00,0.00,0.00,1.97,64.04,0.00,31.30,3.98,9.43,4.7,29.19,35.42,0.0
0.00,5.97,0.00,0.00,0.00,23.87,2.00,7.99,7.97,0.00,0.00,0.00,0.00,1.99,65.51,0.00,31.82,4.00,9.41,4.7,32.80,38.36,0.0
0.00,5.99,0.00,0.00,0.00,23.94,2.00,8.00,7.98,0.00,0.00,0.00,0.00,2.00,65.75,0.00,31.91,4.00,9.40,4.7,34.40,40.18,0.0
0.00,5.99,0.00,0.00,0.00,23.97,2.00,8.00,7.99,0.00,0.00,0.00,0.00,2.00,65.88,0.00,31.96,4.00,9.40,4.7,35.20,44.09,0.0
0.00,6.00,0.00,0.00,0.00,23.98,2.00,8.00,8.00,0.00,0.00,0.00,0.00,2.00,65.94,0.00,31.98,4.00,9.40,4.7,35.60,46.04,0.0
0.00,6.00,0.00,0.00,0.00,24.00,2.00,8.00,8.00,0.00,0.00,0.00,0.00,2.00,65.99,0.00,32.00,4.00,9.40,4.7,37.70,51.76,0.0
0.00,7.00,0.00,0.00,0.00,25.00,2.00,8.00,8.00,0.00,0.00,0.00,0.00,2.00,73.00,0.00,32.00,4.00,8.08,3.38,40.46,56.72,0.0
0.00,7.50,0.00,0.00,0.00,25.50,2.00,8.00,8.00,0.00,0.00,0.00,0.00,2.00,76.50,0.00,32.00,4.00,7.42,3.38,43.23,59.36,0.0
0.00,7.75,0.00,0.00,0.00,25.75,2.00,8.00,8.00,0.00,0.00,0.00,0.00,2.00,78.25,0.00,32.00,4.00,7.09,3.38,44.62,61.68,0.0
0.00,7.87,0.00,0.00,0.00,25.87,2.00,8.00,8.00,0.00,0.00,0.00,0.00,2.00,79.12,0.00,32.00,4.00,6.93,3.38,49.31,62.84,0.0
0.00,7.94,0.00,0.00,0.00,25.94,2.00,8.00,8.00,0.00,0.00,0.00,0.00,2.00,79.56,0.00,32.00,4.00,6.84,3.38,51.65,66.42,0.0
0.00,7.97,0.00,0.00,0.00,25.97,2.00,8.00,8.00,0.00,0.00,0.00,0.00,2.00,79.78,0.00,32.00,4.00,6.80,3.58,53.83,68.21,-1.4
0.00,8.98,0.00,0.00,0.00,26.98,2.00,8.00,9.00,0.00,0.00,0.00,0.00,2.00,82.89,0.00,33.00,4.00,6.98,3.58,54.91,72.10,0.0
0.00,9.49,0.00,0.00,0.00,27.49,2.00,8.00,9.50,0.00,0.00,0.00,0.00,2.00,84.45,0.00,33.50,4.00,7.07,3.58,55.46,75.05,0.0
0.00,9.75,0.00,0.00,0.00,27.75,2.00,8.00,9.75,0.00,0.00,0.00,0.00,2.00,85.22,0.00,33.75,4.00,7.12,3.58,55.73,76.53,0.0
0.00,9.87,0.00,0.00,0.00,27.87,2.00,8.00,9.87,0.00,0.00,0.00,0.00,2.00,85.61,0.00,33.87,4.00,7.14,3.58,55.86,80.26,0.0
0.00,9.94,0.00,0.00,0.00,27.94,2.00,8.00,9.94,0.00,0.00,0.00,0.00,2.00,85.81,0.00,33.94,4.00,7.15,3.58,55.93,82.13,0.0
0.00,9.98,0.00,0.00,0.00,27.98,2.00,8.00,9.98,0.00,0.00,0.00,0.00,2.00,85.95,0.00,33.98,4.00,7.16,5.72,55.98,88.53,12.5
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.0,0.00,0.00,0.0
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,4.0,0.00,1.00,0.0
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.00,4.0,1.00,3.50,0.0
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.00,4.0,6.50,8.75,0.0
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.50,4.0,9.25,12.38,0.0
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.75,4.0,14.62,15.19,0.0
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.88,4.0,19.31,19.59,0.0
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.97,4.0,22.83,27.40,0.0
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.00,4.0,28.10,34.92,0.0
0.00,0.00,0.00,0.00,0.00,2.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,0.00,0.00,0.00,3.59,4.93,2.30,2.52,5.5
0.12,0.00,0.00,0.00,0.00,0.38,0.12,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.75,0.00,0.12,0.00,0.84,4.21,1.52,1.78,0.8
0.06,1.00,0.00,0.00,0.00,1.19,0.06,0.03,0.00,0.00,0.00,0.00,0.00,0.00,6.38,0.00,3.06,0.00,4.63,3.83,2.76,2.89,-0.9
0.01,0.38,0.00,0.00,0.00,0.15,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.30,0.00,0.63,0.00,1.54,4.12,0.59,2.61,1.4
0.00,0.19,0.00,0.00,0.00,0.07,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.65,0.00,0.32,0.00,4.89,5.75,1.30,2.31,9.8
0.00,0.05,0.00,0.00,0.00,2.02,0.25,0.25,0.00,0.00,0.00,0.00,0.00,0.00,6.91,0.00,6.58,0.50,9.39,4.77,3.82,1.58,2.0
0.00,0.02,0.00,0.00,0.00,1.01,0.13,1.13,1.00,0.00,0.00,0.00,0.00,0.00,6.46,0.00,4.29,0.25,9.46,5.51,1.91,2.79,6.0
1.00,0.01,0.00,0.00,0.00,2.50,0.06,0.56,3.50,0.00,0.00,0.00,0.00,0.00,7.23,0.00,3.14,0.12,10.24,4.87,1.96,2.39,1.5
0.50,0.01,0.00,0.00,0.00,4.25,0.03,0.28,2.75,0.00,0.00,0.00,0.00,0.00,6.61,0.00,3.57,0.06,9.99,4.86,2.98,2.20,1.3
0.25,0.00,0.00,0.00,0.00,2.13,0.02,0.14,2.38,0.00,0.00,0.00,0.00,0.00,6.31,0.00,2.79,0.03,9.86,4.31,3.49,3.10,-1.5
0.06,0.00,0.50,0.00,0.00,1.53,0.00,0.04,0.59,0.00,0.00,0.00,0.00,0.00,2.58,0.00,2.20,0.01,4.62,5.51,2.37,5.27,5.7
0.03,0.00,0.25,0.00,0.00,3.77,0.00,0.02,0.30,0.00,0.00,0.00,0.00,0.00,5.29,0.00,3.10,1.00,7.82,4.9,3.19,2.64,1.6
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.0,0.00,0.00,0.0
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.25,7.0,3.25,1.75,0.0
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.95,4.84,18.04,11.30,-1.8
0.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,11.81,4.84,22.02,13.65,0.0
0.00,0.00,0.00,0.00,0.00,4.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.50,0.00,0.00,0.00,10.75,4.81,26.01,14.83,0.0
0.00,0.00,0.00,0.00,0.00,5.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.75,0.00,0.00,0.00,10.18,4.81,30.00,17.41,0.0
0.00,0.00,0.00,0.00,0.00,5.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.88,0.00,0.00,0.00,9.90,4.81,32.00,19.71,0.0
0.00,0.00,0.00,0.00,0.00,5.81,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.94,0.00,0.00,0.00,9.76,4.81,34.00,21.85,0.0
0.00,1.00,0.00,0.00,0.00,8.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.98,0.00,2.00,0.00,9.27,5.27,40.00,27.46,4.4
0.00,2.50,0.00,0.00,0.00,12.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.49,0.00,5.00,1.00,9.90,5.67,44.00,28.73,5.4
0.00,3.25,0.00,0.00,0.00,16.24,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,8.75,0.00,7.50,2.50,10.62,6.46,46.00,29.37,8.9
0.00,3.91,0.00,0.00,0.00,25.53,0.00,0.00,1.88,0.00,0.00,0.00,0.00,1.75,15.09,0.00,17.69,8.06,12.11,6.24,56.00,29.92,0.0
0.00,3.99,0.00,0.00,0.00,29.69,0.00,0.00,2.98,0.00,0.00,0.00,0.00,1.97,17.39,0.00,28.71,10.76,13.35,7.11,64.50,31.49,0.0
0.00,3.99,0.00,0.00,0.00,30.85,0.00,0.00,3.49,0.00,0.00,0.00,0.00,1.98,17.69,0.00,31.36,11.38,13.78,7.11,67.25,31.75,0.0
0.00,4.00,0.00,0.00,0.00,31.71,0.00,0.00,4.87,0.00,0.00,0.00,0.00,2.00,23.92,0.00,35.34,12.84,13.89,5.94,71.81,33.44,0.2
0.00,4.00,0.00,0.00,0.00,31.86,0.00,0.00,6.44,0.00,0.00,0.00,0.00,2.00,27.96,0.00,36.67,13.42,12.89,7.46,75.91,34.72,9.7
1.00,4.00,0.00,0.00,0.00,32.93,0.00,0.00,8.22,0.00,0.00,0.00,0.00,2.00,30.98,0.00,37.33,14.71,13.90,6.62,79.95,35.36,3.8
1.50,4.00,0.00,0.00,0.00,33.46,0.00,0.00,9.11,0.00,0.00,0.00,0.00,2.00,36.49,0.00,37.67,16.36,13.57,6.53,83.98,35.68,2.5
1.97,5.87,0.00,0.00,0.00,35.84,0.00,0.00,13.69,0.00,0.00,0.00,0.00,3.87,41.66,0.00,43.60,17.90,13.09,7.17,98.75,43.60,6.7
1.98,5.94,0.00,0.00,0.00,37.92,0.00,0.00,13.85,0.00,0.00,0.00,0.00,3.94,42.83,0.00,45.80,18.95,13.72,7.7,103.37,44.80,8.9
1.99,5.97,0.00,0.00,0.00,39.96,0.00,0.00,13.92,0.00,0.00,0.00,0.00,4.97,45.41,0.00,53.90,19.47,14.56,9.45,106.69,46.40,18.5
3.50,5.99,0.00,0.00,0.00,45.99,0.00,1.50,16.98,0.00,0.00,0.00,0.00,5.74,50.85,0.00,69.48,22.37,15.97,8.16,116.17,47.60,8.7
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.0,0.00,0.00,0.0
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,10.0,0.00,0.00,0.0
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.00,10.0,1.00,0.00,0.0
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.50,10.0,3.50,1.00,0.0
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.38,10.0,8.88,1.75,0.0
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.84,10.0,12.72,5.44,0.0
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.96,10.0,16.18,9.86,0.0
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.50,0.00,0.00,0.00,16.56,7.71,22.77,16.73,0.0
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.75,0.00,0.00,0.00,15.99,7.71,23.39,20.37,0.0
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.94,0.00,0.00,0.00,15.56,7.71,27.85,24.59,0.0
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.97,0.00,0.00,0.00,15.49,7.71,29.92,25.30,0.0
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,15.43,7.71,44.74,31.91,0.0
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,15.42,7.71,46.37,34.96,0.0
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,15.42,7.71,48.19,36.48,0.0
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.94,0.00,0.00,-0.8
0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,3.94,4.34,2.00,1.00,3.4
0.00,0.00,0.00,0.00,0.00,2.50,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.50,0.00,2.00,0.00,6.31,3.94,2.00,1.50,0.5
0.00,0.00,0.00,0.00,0.00,1.25,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.25,0.00,1.00,0.00,7.09,4.67,4.00,2.75,3.0
0.00,0.00,0.00,0.00,0.00,0.31,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.56,0.00,1.25,0.00,8.27,6.21,4.50,3.69,8.1
0.00,0.00,0.00,0.00,0.00,0.08,0.00,0.00,0.25,0.00,0.00,0.00,0.00,0.00,0.89,0.00,1.31,0.50,5.17,5.49,5.12,1.92,2.8
0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.00,0.12,0.00,0.00,0.00,0.00,0.00,2.45,0.00,2.66,0.25,8.08,8.01,2.56,1.96,12.9
1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.40,0.00,0.79,1.14,9.90,6.42,7.29,0.87,-2.0
0.12,0.00,0.00,0.00,0.00,2.00,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,1.05,0.00,0.60,0.64,6.78,8.04,4.16,0.36,5.3
3.02,0.00,0.00,0.00,0.00,0.25,0.00,1.06,2.50,0.00,0.00,0.00,0.00,0.00,6.13,0.00,1.32,0.33,13.50,7.76,5.27,2.04,-0.2
0.75,0.00,0.00,0.00,0.00,3.56,0.50,1.27,1.63,0.00,0.00,0.00,0.00,0.00,7.53,0.00,0.83,0.08,14.85,7.4,4.82,3.01,-1.3
0.19,0.00,0.00,0.00,0.00,1.89,0.12,0.32,1.41,0.00,0.00,0.00,0.00,0.00,8.38,0.00,3.21,1.02,16.65,9.58,3.20,1.75,9.6
0.05,0.00,0.00,0.00,0.00,0.47,0.53,0.58,0.35,0.00,0.00,0.00,0.00,0.00,3.10,0.00,3.30,0.26,8.95,8.96,3.80,2.94,4.8
0.01,0.50,0.00,0.00,0.00,3.12,0.13,0.14,1.09,0.00,0.00,0.00,0.00,0.00,9.77,0.00,5.83,0.56,15.60,7.9,2.95,1.73,-1.2
0.01,0.25,0.00,0.00,0.00,3.56,0.07,0.07,1.54,0.00,0.00,0.00,0.00,0.00,12.89,0.00,3.91,0.28,15.70,8.72,1.48,1.87,3.6
0.00,0.12,0.00,0.00,0.00,1.78,0.03,0.04,0.77,0.00,0.00,0.00,0.00,0.00,11.44,0.00,4.96,0.14,16.57,10.88,0.74,3.93,14.5
0.25,0.02,0.00,0.00,0.00,0.22,0.00,0.00,0.10,0.00,0.00,0.00,0.00,0.00,3.43,0.00,2.87,0.27,9.42,9.23,1.84,1.99,4.1
0.03,0.50,0.00,0.00,0.00,1.03,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,2.43,0.00,1.11,0.03,7.36,9.29,3.23,1.00,5.3
1.02,1.25,0.00,0.00,0.00,1.51,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,3.21,0.00,2.55,0.02,12.97,9.84,3.62,1.50,7.9
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.08,12.75,0.88,3.24,13.8
1.00,1.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,1.00,15.29,11.17,4.44,1.62,2.8
0.50,0.50,0.00,0.00,0.00,2.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,4.00,0.50,18.81,10.22,4.22,1.81,-1.3
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.39,2.00,0.00,0.5
0.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,3.00,0.00,2.00,0.00,5.39,7.03,1.00,2.00,6.6
0.00,0.00,0.00,0.00,0.00,2.50,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.50,3.50,0.00,2.00,1.00,9.72,6.38,0.50,1.00,1.8
0.00,0.00,0.00,0.00,0.00,0.77,0.00,1.00,0.12,0.00,0.00,0.00,0.00,2.02,3.48,0.00,1.69,1.03,11.80,5.84,3.39,1.47,-0.3
0.00,0.50,0.00,0.00,0.00,1.42,0.00,0.06,0.76,0.00,0.00,0.00,0.00,0.13,1.34,0.00,1.23,0.31,6.49,8.2,1.21,3.72,10.1
0.00,0.12,0.00,0.00,0.00,3.36,0.00,0.02,0.19,0.00,0.50,0.00,0.00,0.03,1.84,0.00,5.31,0.08,13.29,7.53,4.30,3.93,4.0
0.00,0.06,0.00,0.00,0.00,4.68,0.00,0.01,1.09,0.00,0.25,0.00,0.00,0.02,0.92,0.00,2.65,1.04,14.18,8.13,4.15,1.96,7.1
0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.03,0.08,0.00,0.00,0.00,0.00,0.00,0.36,0.00,0.17,0.05,0.94,7.41,4.50,3.47,2.9
0.00,0.00,0.00,0.00,0.00,1.05,0.00,0.02,0.04,0.00,0.00,0.00,0.00,0.00,0.18,0.00,2.08,0.02,7.88,7.29,3.25,2.73,2.1
0.00,1.00,0.00,0.00,0.00,5.53,0.00,0.01,1.02,0.00,0.00,0.00,0.00,0.00,2.09,0.00,2.04,1.01,11.23,7.67,2.63,1.37,4.2
0.00,0.50,0.00,0.00,0.00,4.76,0.00,0.00,0.51,0.00,0.00,0.00,0.00,0.00,6.04,0.00,2.02,1.51,13.28,7.91,2.31,0.68,4.6
0.00,0.63,0.00,0.00,0.00,2.69,0.00,0.00,0.63,0.00,0.00,0.00,0.00,0.00,3.01,0.00,3.01,0.38,7.28,6.61,2.58,2.67,-2.5
0.00,0.31,0.00,0.00,0.00,3.35,0.00,0.00,0.31,0.00,0.00,0.00,0.00,0.00,6.51,0.00,1.50,0.19,10.25,7.81,4.29,2.34,5.0
0.00,0.16,0.00,0.00,0.00,3.67,0.00,0.00,1.16,0.00,0.00,0.00,0.00,0.00,7.25,0.00,1.75,1.09,12.93,8.05,4.14,1.17,5.8
0.25,0.02,0.00,0.00,0.00,0.46,0.00,0.00,2.14,0.00,0.00,0.00,0.00,0.00,5.66,0.00,1.97,0.14,14.68,7.15,4.27,4.40,0.2
0.12,1.01,0.00,0.00,0.00,1.23,0.00,0.00,3.07,0.00,0.00,0.00,0.00,0.00,2.83,0.00,1.98,0.07,14.49,8.83,3.13,5.20,10.3
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.73,0.00,0.00,-0.9
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.0,1.00,2.00,0.0
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.50,1.0,2.50,3.00,0.0
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.75,1.0,4.25,4.50,0.0
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.88,1.0,7.12,6.25,0.0
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.94,1.0,9.56,9.12,0.0
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.99,1.0,17.95,13.14,0.0
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,1.0,19.97,15.57,0.0
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,1.0,20.99,18.79,0.0
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,1.0,23.49,25.39,0.0
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,1.0,26.37,32.85,0.0
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,1.0,29.19,35.42,0.0
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,1.0,31.59,36.71,0.0
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,1.0,32.80,38.36,0.0
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,1.0,34.40,40.18,0.0
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,1.0,35.60,46.04,0.0
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,1.0,37.70,51.76,0.0
