A,CA,CV,DD,DP,FC,FD,FF,FS,FT,G,GC,GS,I,PE,PP,RB,SG,PNT,price,proGoals,consGoals,advPG,advCG,teamPos,advPos,home,realScore
1.17,2.38,0.00,0.00,0.00,8.94,0.96,5.17,13.40,0.00,0.66,0.00,0.00,0.00,22.22,0.00,5.42,0.00,15.35,9.4,5.00,5.00,5.00,5.00,1,16,0,1.3
0.79,1.62,0.00,0.00,0.00,6.04,1.83,3.07,12.13,0.00,0.00,0.00,0.00,0.00,16.35,0.00,4.41,0.00,10.12,9.64,0.00,10.00,10.00,0.00,2,4,0,0.0
0.66,0.79,0.00,0.00,0.00,7.85,0.96,1.45,12.31,0.00,0.00,0.00,0.00,0.00,13.63,0.00,3.96,0.00,8.11,9.21,5.00,0.00,0.00,5.00,2,8,1,0.9
0.00,0.00,0.00,0.00,0.00,6.18,0.66,1.42,12.42,0.00,1.42,0.00,0.00,1.42,15.26,0.00,8.72,0.00,24.20,11.51,5.00,0.00,0.00,5.00,3,18,1,14.9
0.00,0.00,0.00,0.00,0.00,5.09,0.00,1.17,12.86,0.00,1.17,0.00,0.00,1.17,12.36,0.00,13.74,0.00,30.50,10.91,10.00,10.00,10.00,10.00,3,9,0,8.7
0.00,1.42,0.00,0.00,0.00,7.04,2.84,2.38,14.85,1.42,0.96,0.00,0.00,2.38,18.69,0.00,11.31,0.00,28.48,9.89,5.00,5.00,5.00,5.00,3,19,1,2.4
0.00,1.17,0.00,0.00,0.00,4.71,2.34,1.96,11.13,1.17,0.79,0.00,0.00,1.96,14.30,0.00,8.75,0.00,22.93,9.89,5.00,10.00,10.00,5.00,4,1,0,0.0
1.17,2.21,1.42,0.00,0.00,3.00,3.00,4.30,13.04,0.79,1.17,0.00,0.00,0.79,12.92,0.00,5.64,0.00,22.31,8.94,5.00,5.00,5.00,5.00,4,17,0,-5.9
0.79,0.96,0.96,0.00,0.00,0.96,0.96,2.37,5.87,0.00,0.79,0.00,0.00,0.00,5.08,0.00,1.58,0.00,9.90,8.94,0.00,0.00,0.00,0.00,5,14,0,0.0
0.66,0.79,0.79,0.00,0.00,0.79,0.79,1.98,4.88,0.00,0.66,0.00,0.00,0.00,4.22,0.00,1.32,0.00,8.34,8.94,15.00,0.00,0.00,15.00,2,11,0,0.0
0.00,0.66,0.66,0.00,0.00,0.66,0.66,0.00,1.32,0.00,0.00,0.00,0.00,0.00,1.32,0.00,0.00,0.00,-3.89,8.94,15.00,0.00,0.00,15.00,2,9,1,0.0
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.42,0.00,2.84,9.73,20.00,0.00,0.00,20.00,2,20,0,2.0
0.00,0.00,0.00,0.00,0.00,1.42,0.00,1.42,2.59,0.00,0.00,0.00,0.00,0.00,1.42,0.00,1.17,0.00,3.05,9.49,5.00,5.00,5.00,5.00,2,1,1,0.5
0.00,0.00,0.00,0.00,0.00,1.17,0.00,1.17,4.97,0.00,0.00,0.00,0.00,0.00,6.85,0.00,0.96,0.00,2.22,9.33,10.00,10.00,10.00,10.00,2,4,0,-0.2
0.00,2.13,0.00,0.00,0.00,4.92,1.17,2.79,10.55,0.00,0.00,0.00,0.00,0.00,6.91,0.00,0.96,0.00,1.56,9.24,5.00,0.00,0.00,5.00,2,15,0,0.0
0.00,2.62,0.00,0.00,0.00,4.32,1.96,2.62,13.19,0.00,1.17,0.00,0.00,0.00,12.47,0.00,0.66,0.00,10.25,9.08,10.00,0.00,0.00,10.00,2,8,0,-0.7
1.42,1.62,0.00,0.00,0.00,5.33,1.62,3.04,11.00,0.00,0.96,0.00,0.00,0.00,16.28,0.00,1.42,0.00,16.00,10.12,5.00,10.00,10.00,5.00,2,7,1,5.8
0.00,1.42,0.00,0.00,0.00,1.42,0.00,0.00,1.42,0.00,0.00,0.00,0.00,0.00,1.42,0.00,1.42,0.00,-1.14,8.46,3.00,1.00,1.00,3.00,4,15,1,-0.8
0.00,2.38,0.00,0.00,0.00,5.22,2.59,0.00,5.22,0.00,0.00,0.00,0.00,0.00,3.55,0.00,2.13,0.00,0.48,5.52,5.00,5.00,5.00,5.00,9,3,0,-1.1
0.00,3.38,0.00,0.00,0.00,5.72,3.55,4.26,7.14,0.00,0.00,0.00,0.00,0.00,7.18,1.42,4.59,0.00,0.67,5.24,10.00,5.00,5.00,10.00,7,13,1,0.2
0.00,2.79,0.00,0.00,0.00,4.71,2.92,3.51,5.88,0.00,0.00,0.00,0.00,0.00,5.92,1.17,3.79,0.00,0.55,5.24,5.00,10.00,10.00,5.00,9,2,0,0.0
0.00,3.17,0.00,0.00,0.00,4.75,2.41,4.30,9.97,0.00,0.00,0.00,0.00,0.00,11.43,0.96,2.58,0.00,-0.80,4.51,15.00,10.00,10.00,15.00,6,12,1,-1.2
0.00,2.62,0.00,0.00,0.00,5.36,2.87,4.96,8.24,1.42,0.00,0.00,0.00,0.00,13.14,0.79,1.58,0.00,3.14,5.28,10.00,0.00,0.00,10.00,5,14,1,3.6
0.00,1.62,0.00,0.00,0.00,4.21,1.83,4.11,8.00,2.59,0.00,0.00,0.00,0.00,13.13,0.66,1.32,0.00,7.31,5.31,0.00,0.00,0.00,0.00,6,15,0,2.9
0.00,0.79,0.00,0.00,0.00,2.92,0.96,1.75,5.50,2.13,0.00,0.00,0.00,0.00,9.17,0.00,0.00,0.00,5.90,5.31,10.00,0.00,0.00,10.00,3,19,0,0.0
0.00,0.66,0.00,0.00,0.00,3.83,2.21,4.29,4.56,1.75,0.00,0.00,0.00,0.00,13.27,0.00,4.26,0.00,12.79,5.93,30.00,5.00,5.00,30.00,3,8,1,5.6
0.00,1.17,0.00,0.00,0.00,2.79,2.13,1.92,6.00,0.66,0.00,0.00,0.00,0.00,11.01,0.00,5.22,0.00,9.86,5.52,15.00,10.00,10.00,15.00,3,10,1,0.0
0.00,0.79,0.00,0.00,0.00,1.45,1.45,1.32,3.16,0.00,0.00,0.00,0.00,0.00,6.59,0.00,3.56,0.00,5.43,5.52,15.00,5.00,5.00,15.00,3,14,1,0.0
