A,CA,CV,DD,DP,FC,FD,FF,FS,FT,G,GC,GS,I,PE,PP,RB,SG,PNT,price,proGoals,consGoals,advPG,advCG,teamPos,advPos,home,realScore
0.00,0.00,0.00,0.00,0.00,1.38,0.19,1.06,1.13,0.00,0.63,0.00,0.00,1.82,3.32,0.00,1.25,0.00,6.04,11.48,3.39,0.19,0.52,2.35,2,11,0,-1.1
0.00,0.00,0.00,0.00,0.00,2.42,1.02,1.38,0.14,1.00,0.08,0.00,0.00,2.73,2.66,0.00,0.16,0.00,3.08,11.48,0.67,1.52,1.95,1.93,2,16,0,0.5
1.00,1.00,0.00,0.00,0.00,7.21,0.51,0.69,1.07,0.50,0.04,0.00,0.00,1.36,1.33,0.00,0.08,0.00,2.04,11.15,1.34,0.76,2.17,1.34,3,13,1,-0.1
0.13,0.13,0.00,0.00,0.00,1.65,0.31,0.34,0.38,0.06,0.00,0.00,0.00,0.42,0.42,0.00,0.01,0.00,0.23,11.22,2.67,1.85,2.83,4.32,3,8,0,1.5
0.06,0.06,0.00,0.00,0.00,0.83,1.16,0.17,1.19,0.03,0.00,0.00,0.00,0.21,0.21,0.00,0.00,0.00,1.61,12.84,1.33,0.92,1.21,2.61,3,12,0,10.6
0.01,0.51,0.00,0.00,0.00,0.85,1.64,0.02,0.15,0.00,0.25,0.00,0.00,0.53,1.78,0.50,0.50,0.00,0.65,10.13,5.92,2.12,1.90,1.47,2,1,0,-3.8
0.00,0.16,0.00,0.00,0.00,0.30,0.10,0.13,0.13,0.00,0.02,0.00,0.00,0.16,0.74,0.03,0.03,0.00,-0.43,10.13,2.49,4.13,3.16,2.60,5,11,0,-0.8
0.00,0.02,0.00,0.00,0.00,0.29,0.01,0.02,0.02,0.00,0.00,0.00,0.00,0.02,0.34,0.00,0.00,0.00,-0.25,10.8,3.31,2.02,1.89,0.64,6,3,0,5.2
0.00,0.13,0.00,0.00,0.00,0.14,0.00,0.00,0.00,0.00,0.13,0.00,0.00,0.00,0.15,0.00,0.00,0.00,0.63,10.23,3.08,2.13,0.13,3.83,3,16,1,0.0
0.00,0.00,0.00,0.00,0.00,4.50,1.50,1.25,1.50,0.00,2.00,0.00,0.00,2.50,4.75,0.00,0.00,0.00,14.20,13.11,3.00,3.00,1.50,3.50,17,16,0,5.9
0.00,1.00,0.00,0.00,0.00,3.62,1.88,2.31,2.88,0.50,1.50,0.00,0.00,0.62,6.19,0.00,0.00,0.00,12.70,12.55,2.25,1.75,1.88,3.19,15,17,0,0.8
0.00,0.50,0.00,0.00,0.00,3.81,1.94,3.16,3.44,0.25,0.75,0.00,0.00,2.31,5.09,0.00,0.00,0.00,7.15,14.07,1.12,1.88,2.28,2.56,12,6,1,7.2
0.00,0.12,0.00,0.00,0.00,1.95,0.48,0.79,1.36,0.06,0.69,0.00,0.00,0.58,1.77,0.00,0.00,0.00,5.39,12.45,0.78,1.47,3.75,0.77,12,2,1,-0.5
0.00,0.53,0.00,0.00,0.00,2.49,0.12,0.70,0.34,0.52,0.17,0.00,0.00,1.64,1.94,0.00,0.50,0.00,1.10,11.74,1.70,1.37,2.54,3.05,14,19,1,-1.7
