A,CA,CV,DD,DP,FC,FD,FF,FS,FT,G,GC,GS,I,PE,PP,RB,SG,PNT,price,proGoals,consGoals,realScore
0.00,1.00,0.00,0.00,0.00,4.27,0.38,0.50,7.91,0.12,0.25,0.00,0.00,3.52,1.77,0.00,0.38,0.00,5.54,2.55,1.52,0.5
0.00,0.50,0.00,0.00,0.00,2.13,0.19,0.25,5.95,0.06,0.12,0.00,0.00,2.76,0.88,0.00,0.19,0.00,4.29,4.27,1.76,-5.3
0.00,0.25,0.00,0.00,0.00,3.07,0.09,0.12,2.98,0.03,0.06,0.00,0.00,2.38,1.44,1.00,0.09,0.00,5.04,3.14,1.88,0.2
0.00,0.06,0.00,0.00,0.00,1.27,0.02,0.53,0.74,0.01,0.02,0.00,0.00,0.59,0.36,0.25,0.02,0.00,4.8,2.78,1.97,0.0
0.00,0.03,0.00,0.00,0.00,1.63,0.01,0.27,1.37,0.00,0.01,0.00,0.00,0.30,0.18,0.12,0.01,0.00,4.46,1.39,2.98,-1.7
0.00,0.02,0.00,0.00,0.00,3.82,1.01,0.13,0.69,0.00,0.00,0.00,0.00,0.15,4.09,0.06,0.01,0.00,5.86,1.70,3.49,6.6
0.00,0.01,0.00,0.00,0.00,7.91,1.50,1.07,2.34,0.00,1.00,0.00,0.00,1.07,4.05,0.03,0.00,0.00,4.65,2.85,1.75,-1.4
0.00,0.00,0.00,0.00,0.00,2.48,0.88,1.27,0.59,0.00,0.25,0.00,0.00,1.77,4.01,0.01,0.00,0.00,6.62,0.71,3.44,10.1
0.00,0.00,0.00,0.00,0.00,3.24,1.44,0.63,2.29,0.00,1.13,0.00,0.00,0.88,4.01,0.00,1.00,0.00,4.49,2.36,1.72,-2.6
0.00,0.00,0.00,0.00,0.00,5.62,0.72,0.32,3.15,0.00,0.56,0.00,0.00,2.44,4.00,0.00,0.50,0.00,4.92,2.18,2.86,0.1
0.00,0.00,0.00,0.00,0.00,0.60,0.17,0.02,0.20,0.00,0.04,0.00,0.00,0.40,0.50,0.00,0.16,0.00,4.7,2.14,4.05,-0.6
0.00,0.00,0.00,0.00,0.00,0.30,0.08,0.01,0.10,0.00,0.02,0.00,0.00,0.20,2.25,0.00,0.08,0.00,4.52,3.07,2.03,-1.3
0.00,0.00,0.00,0.00,0.00,0.27,0.01,0.00,0.01,0.00,0.00,0.00,0.00,0.01,0.27,0.00,0.00,0.00,5.24,4.57,2.88,4.2
