atletas.atleta_id,atletas.clube.id.full.name,atletas.pontos_num,atletas.preco_num,atletas.posicao_id,A,CA,CV,DD,DP,FC,FD,FF,FS,FT,G,GC,GS,I,PE,PP,RB,SG
101715,Atlético-MG,0.0,0.0,ata,1,0.0,0.0,0.0,0.0,5,6,9,9,2,2,0.0,0.0,3,8,0.0,8,0.0
101679,Goiás,0.0,0.0,ata,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62128,Goiás,0.0,0.0,ata,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101708,Santos,0.0,0.0,lat,0.0,0.0,0.0,0.0,0.0,12,7,7,10,0.0,2,0.0,0.0,1,30,0.0,16,9
101421,Chapecoense,0.0,0.0,gol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54395,Atlético-MG,0.0,0.0,mei,1,3,1,0.0,0.0,29,5,8,17,1,1,0.0,0.0,0.0,63,0.0,28,0.0
101422,Atlético-MG,0.0,0.0,ata,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0
62104,Cruzeiro,0.0,0.0,mei,1,7,0.0,0.0,0.0,33,5,16,24,0.0,1,0.0,0.0,0.0,97,0.0,19,0.0
60791,Fortaleza,0.0,0.0,mei,0.0,1,0.0,0.0,0.0,1,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1,0.0,1,0.0
62121,Santos,0.0,0.0,gol,0.0,0.0,0.0,15,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,6,0.0,4,0.0,0.0,3
63178,CSA,0.0,0.0,mei,0.0,3,0.0,0.0,0.0,15,2,3,15,0.0,0.0,0.0,0.0,0.0,21,0.0,17,0.0
101483,Grêmio,0.0,0.0,ata,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63194,Fortaleza,0.0,0.0,lat,2,5,1,0.0,0.0,49,4,7,18,0.0,1,0.0,0.0,1,47,0.0,44,4
63289,Internacional,0.0,0.0,mei,2,6,0.0,0.0,0.0,27,6,3,18,0.0,5,0.0,0.0,0.0,53,0.0,27,0.0
60819,Cruzeiro,0.0,0.0,zag,0.0,2,0.0,0.0,0.0,14,4,6,21,0.0,3,0.0,0.0,0.0,45,0.0,28,8
63219,Atlético-MG,0.0,0.0,mei,1,5,0.0,0.0,0.0,45,6,21,48,0.0,3,0.0,0.0,6,69,1,44,0.0
68690,Grêmio,0.0,0.0,ata,2,3,0.0,0.0,0.0,20,6,6,19,1,2,0.0,0.0,5,18,1,10,0.0
